P	BT_LE	1.0	BT_	0x4001A000	Bluetooth LE controller
R	JAL_LE_FLTR_CTRL_ST_ADDR_1_H	0x6C	32	read-write	LE Address Filter 1 High and control and matched
F	FLTR_1_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_1	30	1	read-write	
F	FLTR_MATCHED_1	29	1	read-only	
F	FLTR_ADDR_1_H	0	16	read-write	
R	JAL_LE_FLTR_ADDR_2_L	0x70	32	read-write	LE Address Filter 2 Low word
F	FLTR_ADDR_2_L	0	32	read-write	
R	JAL_LE_FLTR_CTRL_ST_ADDR_2_H	0x74	32	read-write	LE Address Filter 2 High and control and matched
F	FLTR_2_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_2	30	1	read-write	
F	FLTR_MATCHED_2	29	1	read-only	
F	FLTR_ADDR_2_H	0	16	read-write	
R	JAL_LE_FLTR_ADDR_3_L	0x78	32	read-write	LE Address Filter 3 Low word
F	FLTR_ADDR_3_L	0	32	read-write	
R	JAL_LE_FLTR_CTRL_ST_ADDR_3_H	0x7C	32	read-write	LE Address Filter 3 High and control and matched
F	FLTR_3_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_3	30	1	read-write	
F	FLTR_MATCHED_3	29	1	read-only	
F	FLTR_ADDR_3_H	0	16	read-write	
R	JAL_LE_FLTR_ADDR_4_L	0x80	32	read-write	LE Address Filter 4 Low word
F	FLTR_ADDR_4_L	0	32	read-write	
R	JAL_LE_FLTR_CTRL_ST_ADDR_4_H	0x84	32	read-write	LE Address Filter 4 High and control and matched
F	FLTR_4_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_4	30	1	read-write	
F	FLTR_MATCHED_4	29	1	read-only	
F	FLTR_ADDR_4_H	0	16	read-write	
R	JAL_LE_FLTR_ADDR_5_L	0x88	32	read-write	LE Address Filter 5 Low word
F	FLTR_ADDR_5_L	0	32	read-write	
R	JAL_LE_FLTR_CTRL_ST_ADDR_5_H	0x8C	32	read-write	LE Address Filter 5 High and control and matched
F	FLTR_5_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_5	30	1	read-write	
F	FLTR_MATCHED_5	29	1	read-only	
F	FLTR_ADDR_5_H	0	16	read-write	
R	JAL_LE_FLTR_ADDR_DIRECT_L	0x90	32	read-write	LE Direct Address Filter Low word
F	FLTR_ADDR_DIRECT_L	0	32	read-write	
R	JAL_LE_FLTR_CTRL_ST_ADDR_DIRECT_H	0x94	32	read-write	LE Direct Address Filter High and control and matched
F	FLTR_DIRECT_LOADED	31	1	read-write	
F	FLTR_ADDR_TYPE_DIRECT	30	1	read-write	
F	FLTR_MATCHED_DIRECT	29	1	read-only	
F	FLTR_ADDR_DIRECT_H	0	16	read-write	
R	JAL_LE_LOCAL_ADDR_L	0x98	32	read-write	LE Local Address Filter Low word
F	LE_LOCAL_ADDR_L	0	32	read-write	
R	JAL_LE_LOCAL_CTRL_ST_ADDR_H	0x9C	32	read-write	LE Local Address Filter High and control and matched
F	LE_LOCAL_ADDR_TYPE	30	1	read-write	
F	LE_LOCAL_ADDR_MATCHED	29	1	read-only	
F	LE_LOCAL_ADDR_H	0	16	read-write	
R	JAL_LE_AES_MIC	0x200	32	read-write	AES MIC in Big Endian
F	AES_MIC	0	32	read-write	
R	JAL_LE_AES_DATA_0	0x204	32	read-write	AES Data Word 0
F	AES_DATA_0	0	32	read-write	
R	JAL_LE_AES_DATA_1	0x208	32	read-write	AES Data Word 1
F	AES_DATA_1	0	32	read-write	
R	JAL_LE_AES_DATA_2	0x20C	32	read-write	AES Data Word 2
F	AES_DATA_2	0	32	read-write	
R	JAL_LE_AES_DATA_3	0x210	32	read-write	AES Data Word 3
F	AES_DATA_3	0	32	read-write	
R	JAL_LE_AES_DATA_4	0x214	32	read-write	AES Data Word 4
F	AES_DATA_4	0	32	read-write	
R	JAL_LE_AES_DATA_5	0x218	32	read-write	AES Data Word 5
F	AES_DATA_5	0	32	read-write	
R	JAL_LE_AES_DATA_6	0x21C	32	read-write	AES Data Word 6
F	AES_DATA_6	0	32	read-write	
